temperature,humidity,resistance,Real NO(ppb)
28.37,59.66,13937,1.3
27.3,63.83,13476,1.7
26.04,70.97,13504,4.1
23.81,78.46,13517,5.9
24.17,76.45,13419,5.3
23.73,77.84,13424,2.9
22.87,79.71,13535,0.9
23.3,77.52,13759,0.8
24.24,72.65,13896,0.6
24.63,70.16,13772,0.5
24.71,69.54,13879,0.4
25.14,69.13,13836,0.3
24.05,72.84,13847,0.4
24.86,68.54,13864,0.4
25.92,64,14127,0.4
26.6,61.27,14280,0.2
27.59,56.54,14652,0.4
29.94,48.34,15046,x
30.64,47.2,15053,1
28.84,51.65,15009,1.1
30.52,49.16,14845,0.9
31.48,45.47,15002,0.4
31.05,47.42,14808,x
30.11,48.93,14443,0.7
27.35,55.86,14064,1.6
25.12,60.29,13708,4
23.76,65.1,13754,4.8
22.47,69.41,13672,3.5
22.27,69.28,13590,1.7
22.67,68.12,13519,0.3
22.47,68.77,13391,0.4
22.1,70.81,13274,0.5
22.43,69.46,13424,0.5
23.23,66.08,13659,0.3
22.95,66.67,13711,1.1
23.67,65.14,13636,1.1
23.33,65.29,13649,1.1
23.99,63.97,13674,1.3
24.58,62.2,13712,1.2
23.9,63.34,13858,1.2
24.82,61.16,13906,1.3
26.21,57.76,13981,1.9
27.76,53.17,14108,1.7
26.93,55.34,14043,2
27.08,54.53,14017,1.7
27.25,54.82,14004,1.8
26.98,55.61,13853,x
27.08,56.12,13865,x
25.96,59.41,13481,x
25.5,60.6,13524,2.9
23.94,64.96,13548,x
22.76,67.84,14246,x
22.5,68.46,14188,1.6
22.54,67.46,14284,0.4
22.33,68.18,14120,x
22.46,67.38,13894,x
22.62,69.89,13961,x
22,71.37,14082,x
22.33,71.62,13861,x
22.3,71.42,13742,0.5
22.52,71.59,14438,0.4
23.02,70.9,14081,0.3
23.73,70.51,14060,0.6
24.72,69.6,13919,0.5
26.28,64.66,14306,0.9
29.6,56.29,14428,1.2
29.77,55.11,14671,1.4
30,56.16,14209,1.1
29.11,58.92,13995,1.1
27.58,63.04,13542,1.5
28.61,63.41,13502,1.4
25.5,70.07,13498,2.2
23.33,78.64,13336,2.8
23.03,78.35,13334,3
21.7,84.2,13302,2.3
20.7,88.04,13121,1.3
20.51,90.76,13043,0.3
21,93.87,13039,0.5
22.03,89.65,12920,0.3
22.65,90.42,13017,0.4
23.43,87.73,13111,0.5
23.3,89.14,13344,0.5
23.7,92.55,13432,0.6
24.31,90.5,13414,0.8
24.22,90.3,13708,0.6
25.43,89.1,14086,1
26.64,85.41,14450,0.9
28.06,77.4,14625,0.7
28.33,73,14701,0.8
28.67,72.12,14519,0.8
30.42,65.6,14230,0.8
31.37,60.2,14374,0.9
30.75,66.47,13651,1
28.32,74.71,13544,1.2
28.2,75.89,13265,1.1
24.83,85.79,13434,1.7
23.52,92.19,13451,1.2
22.87,93.13,13472,0.9
23.26,93.55,13385,1
22.71,94.54,13915,0.9
23.87,90.25,13519,0.7
24.38,86.55,12972,0.5
25.2,87.16,12548,0.5
24.24,91.97,13013,0.3
25.26,91.22,12492,0.4
26.01,88.02,12950,0.5
27.59,77.89,12446,0.6
27.91,74.88,12242,1.1
29.96,68.65,12283,0.9
30.32,60.69,13039,0.9
30.9,55.5,13057,0.9
31.48,57.88,13225,1
32.18,53.23,13170,0.9
35.28,43.99,13435,1.3
34.67,47.13,13315,1.4
35.24,45.3,13445,1.3
35.75,43.9,13407,1.2
36.39,41.81,13332,1
35.42,40.25,13198,1
35.48,40.82,13274,1.2
34.08,46.76,12209,1.5
33.79,48.18,12011,2.3
31.91,59.04,11956,3.7
28.22,73.86,12001,5.1
27.4,78.23,12220,4.1
27.31,80.86,12367,2.1
27.88,79.87,12389,0.9
27.92,80.5,12514,0.9
27.55,81.7,12157,0.7
28.19,81.12,12072,0.8
28.73,78.79,11921,1.2
28.51,78.32,11889,1.2
28.78,76.44,11857,1.2
29.66,71.42,11858,2.1
29.66,71.45,11875,2.4
30.51,66.15,11975,1.7
31.73,59.14,12089,2.1
33.55,56.25,12123,2.7
33.88,53.66,12152,2.4
33.17,59.64,12101,1.8
36.1,49.5,12344,1.4
36.23,48.19,12474,1.1
37.86,42.76,12652,1.2
34.95,48.06,12655,1.6
35.69,45.78,12685,1.6
32.96,51.94,12427,2.2
31.1,60.3,12226,2.9
28.93,67.61,12026,4.1
27.32,71.51,11992,4.1
27.11,71.5,11941,2.8
26.6,74.92,11903,1.2
27.73,68.3,11952,1
28.07,67.58,11894,1
28.97,64.86,11919,1
28.65,64.48,11942,0.8
28.48,64.21,12005,0.9
29.43,60.73,12067,0.9
29.19,60.41,12114,0.8
29.12,59.61,12150,0.8
29.49,60.25,12216,0.7
30.42,54.72,12419,0.9
31.87,52.7,12504,1
33.38,52.3,12622,1.6
33.53,52.31,12786,1.1
33.28,52.57,12939,1.5
33.95,52.31,12928,1.8
33.45,53.09,13072,x
33.38,52.29,13164,1
32.9,51.98,12945,1.3
30.11,63.32,12320,2.4
29.56,65.8,12214,4.2
27.14,73.15,12180,5.2
25.71,76.71,12168,5.5
25.09,80.99,12143,3.7
25.7,77.53,12011,0.9
26.26,78.17,11972,0.9
26.05,75.67,11963,0.8
25.75,82.17,12141,0.7
25.5,83.82,12132,0.4
25.77,83.02,12231,0.3
26.02,82.27,12090,0.4
26.15,81.38,12057,0.4
26.91,78.61,11891,0.7
27.31,77.32,11862,0.7
28.64,70.76,11934,1.3
30.95,59.32,12233,2
35.13,42.93,12904,1
34.63,50.42,12393,0.7
31,63.57,12071,1.5
32.07,60.29,12271,2.4
31.99,57.41,12394,1.2
30.61,64.42,12084,1.2
30.28,64.35,12022,1.4
29.66,65.26,11821,3.4
27.76,71.49,11595,5.2
25.41,80.33,11574,5.4
24.27,83.46,11531,5.6
24.52,83.05,11627,2.7
24.27,84.37,11723,0.5
25.16,80.53,11761,0.5
25.14,81.11,11791,0.4
25.37,80.38,11838,0.4
24.82,82.26,11914,0.9
25.2,80.92,11814,0.5
25.61,79.32,11742,0.5
27.13,73.49,11811,0.6
28.28,69,11806,0.5
28.63,67.86,11786,0.5
29.52,64.5,11799,0.9
31.07,58.78,11869,0.9
31.98,55.47,11888,1.1
31.74,55.92,11903,x
33.16,50.26,12008,x
33.48,48.23,12007,0.9
32.99,50.81,11977,1.5
32.61,51.2,11931,1.1
31.47,54.13,11821,1.4
28.79,61.49,11779,2.8
27.51,65.15,11768,4.7
25.65,70.15,11815,7.9
24.41,68.93,11860,2.8
24.2,69.95,11839,0.8
23.69,73.48,11828,0.5
24.45,71.59,11812,0.6
24.9,68.11,11828,0.4
25.17,67.5,11849,0.7
25.37,64.42,11842,0.7
25.16,65.96,11851,0.8
25.91,65.54,11895,1
27.17,61.36,11894,0.8
28.71,54.26,12014,1.1
29.19,53.06,12078,1
30.74,49.11,12161,0.9
31.8,46.3,12385,0.9
32.69,45.22,12523,1
33.04,43.81,12597,1
33.94,42.51,12634,1.1
33.68,42.19,12656,1
32.63,44.21,12456,1.1
30.69,49.9,12167,1.7
29.48,53.31,12028,2.2
28.07,56.79,11935,3.5
26.11,61.46,11859,4.5
24.47,66.58,11846,3.7
22.65,71.74,11837,1.4
22.25,75.67,11856,1.1
22.58,73.82,11987,0.9
23.25,71.22,11808,0.9
23.34,70.86,11824,0.8
23.15,70.78,11814,0.9
23.21,70.74,11836,0.5
23.52,69.95,11798,0.6
24.35,68.7,11838,0.6
24.68,67.2,11850,0.7
24.61,66.66,11870,0.4
26.21,62.44,11948,0.5
26.35,61.79,12020,0.5
27.59,59.17,12072,0.6
28.2,58.5,12097,0.6
29.19,55.68,12203,0.5
30.81,52.87,12303,0.8
31.6,52.39,12230,0.9
29.99,55.92,12086,1.2
27.91,61.75,11969,1.6
27.56,63.21,11930,1.6
25.55,69.79,11907,1.3
27.2,73.83,11877,2.7
27.44,71.44,11878,3.4
25.78,77.96,11873,1.6
26.5,74.84,11835,1.1
26.33,76.06,11778,0.6
27.15,72.48,11841,0.5
27.78,69.96,11848,0.4
27.1,72.27,11901,0.5
26.98,71.25,11800,0.7
27.71,69.95,11820,0.8
28.36,66.35,11807,1.3
28.26,67.61,11817,1.3
28.88,63.9,11921,0.9
29.76,57.68,12078,0.9
29.73,57.43,12130,0.8
30.71,54.24,12202,1
31.43,53.65,12295,0.9
32.1,51.23,12419,0.9
32.22,51.11,12432,0.8
32.56,49.44,12632,0.7
33.58,48.55,12518,0.8
32.43,51.51,12271,1.2
32.67,52.16,12094,1.2
29.3,61.5,11841,2
27.55,67.77,11791,4.5
24.79,78.05,11852,8.5
24.1,79.86,11919,10.7
24.18,79.25,11967,2.6
24.65,76.95,11815,1.2
25.09,75.75,11828,1.2
24.93,76.35,11824,1.5
25.8,73.07,11888,1.6
26.09,70.66,11851,0.7
26.72,67.77,11892,1
27.27,66.54,11931,1.5
28.64,61.52,12033,1.4
28.88,58.85,12150,0.5
29.24,58.14,12225,0.4
30.1,54.61,12373,0.4
32.19,47.96,12581,0.7
33.09,45.41,12682,1
34.59,44.53,12683,1
34.2,46.52,12659,0.9
33.18,49.24,12674,x
33.99,43.31,12924,0.8
33.35,44.31,12710,0.9
32.76,46.06,12375,1.7
29.79,58.3,12013,4.2
28.26,64.31,11900,7
24.82,78.01,12070,11.1
22.94,84.17,12077,8.6
23.7,81.11,12066,4.3
24.35,78.97,12066,0.9
23.96,80.35,12096,0.7
23.57,81.67,12140,0.5
23.91,80.11,12083,0.6
24.3,78.84,12047,0.9
25.41,73.75,11960,1
25.05,74.9,12020,0.9
25.61,72.47,12168,0.8
26.59,69.07,12201,0.9
26.94,66.64,12330,0.8
28.53,58.13,12439,0.7
30.34,51.11,12607,0.9
31.57,49.47,12596,1
31.02,50.33,12504,1
31.06,49.89,12443,0.9
30.27,53.83,12336,1
30.13,52.81,12252,1
28.84,53.65,12139,2.1
27.11,56.84,12046,5.3
24.28,65.07,11991,7
23.25,68.17,11997,7.7
21.7,72.81,12020,5.8
21.75,73.13,12006,1.9
21.35,72.06,12017,0.9
20.95,74.55,12012,0.7
20.76,78.73,12059,0.7
21.42,73.09,11984,0.7
20.91,76.03,12048,0.8
21.72,67.3,12006,0.4
22.09,67.92,11975,0.4
22.39,67.15,12001,0.3
22.3,67.19,12010,0.5
22.99,65.82,12020,0.2
23.6,64.55,12046,0.4
24.45,62.02,12086,0.8
25.03,60.42,12090,1.4
27.07,56.3,12149,1.1
27.52,55.78,12125,2
26.94,57.47,12106,2.7
25.87,60.91,12056,x
27.64,56.61,12048,2.4
26.89,60.94,12019,2.5
23.39,69.06,11974,3.4
22.71,72.15,12004,2.7
22.31,74.27,11994,2.2
22.16,76.1,11974,1.9
22.16,75.95,12010,0.7
22.88,75.19,11971,0.5
22.72,76.08,11970,0.5
22.51,77.28,12010,0.4
22.64,77.8,11961,0.5
22.99,78.37,12004,0.3
23.91,76.78,12092,0.9
24.25,75.23,11994,1
23.25,78.31,12007,1
25.07,72.2,11983,1.9
24.24,73.61,11977,1.3
24.75,72.34,11927,0.6
26.46,67.67,12094,0.8
26.62,66.64,12093,0.7
