H2S,TVOC,CO,SO2,NOx,RH,T,H2S(GT),TVOC(GT),CO(GT),SO2(GT),NOx(GT)
1991,1704,1612,1419,776,65.2,25.8,2.32,2.5,0.51,4.1,13.5
2203,2053,2024,1544,820,60.8,32.8,2.32,2.5,0.41,5,10.7
2272,2194,2177,1622,851,52.5,36.7,2.36,2.55,0.38,4.6,10
2310,2288,2298,1582,894,41.9,43.1,2.36,2.59,0.38,4.7,13.8
2322,2291,2318,1566,899,39.7,42.8,2.45,2.64,0.42,4.4,18.7
2307,2273,2291,1563,909,39.6,40.8,2.84,2.95,0.46,3.6,25.1
2306,2288,2298,1562,909,37.7,42.4,2.66,2.79,0.6,3,17.4
2300,2283,2288,1554,913,36.1,43.5,2.35,2.48,0.65,4.9,22.4
2143,2052,2021,1475,897,35,42.3,2.27,2.4,0.59,5.3,19.8
2044,1871,1842,1385,859,35.9,40.3,2.19,2.28,0.58,5.3,16.4
1933,1696,1629,1324,784,43.4,31.3,2.17,2.26,0.45,5.2,12.3
1911,1656,1574,1320,768,46.7,29.5,2.17,2.25,0.42,4.5,14
1909,1644,1555,1325,751,51.5,28,2.2,2.25,0.38,4,9.2
1905,1632,1533,1326,744,52.5,27.6,2.18,2.23,0.38,3.7,10.6
1939,1675,1589,1341,737,53.4,27.5,2.16,2.21,0.36,3.4,13
1954,1685,1600,1342,739,53.6,28.3,2.15,2.2,0.32,3.2,14.3
1871,1573,1438,1341,750,53.8,28.2,2.2,2.25,0.35,3.6,21.3
1962,1680,1589,1344,749,55.1,27.6,2.16,2.22,0.38,3.7,26.1
1936,1646,1535,1333,746,56,27.4,2.17,2.24,0.42,3.5,28.5
1915,1605,1496,1322,739,59.2,25.5,2.18,2.3,0.4,3.7,14.9
1911,1607,1489,1313,722,60.3,25.3,2.25,2.38,0.41,3.9,19.1
1921,1605,1489,1324,731,60.9,25.6,2.29,2.41,0.42,3.9,22.6
1905,1585,1458,1314,725,61.2,25.4,2.33,2.45,0.06,4,14.9
1834,1484,1327,1301,726,61.7,25,2.38,2.51,0.06,4,15
2017,1778,1658,1472,781,63.2,28,2.41,2.53,0.17,4.4,15.7
2094,1925,1830,1519,773,54.4,33.5,2.47,2.63,0.41,3.3,14.3
2145,2038,1968,1531,831,45.3,38.5,2.56,2.71,0.51,2.9,15.3
2196,2120,2074,1534,851,42.6,39.9,2.64,2.8,0.62,3.4,18.9
2064,1935,1859,1454,848,39.1,39.5,2.81,2.95,0.51,3.3,18.6
2012,1850,1757,1413,832,38.6,38.2,3.29,3.46,0.61,3.5,21.4
1992,1824,1732,1387,804,37.6,37.2,3.23,3.41,0.59,3.2,27.9
1965,1773,1677,1356,789,36.2,37,2.93,3.14,0.85,3.4,31.3
1893,1655,1535,1297,777,36.1,35.5,2.67,2.88,0.95,4.8,34.6
1738,1412,1269,1170,736,37.8,29.3,2.48,2.62,0.46,4.5,24.7
1678,1326,1163,1136,720,40,26,2.23,2.31,0.28,3.3,17.5
1628,1248,1069,1104,688,43.3,22.6,2.23,2.32,0.52,3.9,16.5
1630,1243,1059,1099,686,44.2,22,2.23,2.33,0.52,2.3,15.9
1636,1233,1054,1107,668,45.5,21.4,2.2,2.29,0.46,2.8,13.9
1628,1220,1036,1097,661,45.4,21.1,2.19,2.29,0.43,2.2,16.1
1624,1216,1021,1092,656,45.7,20.7,2.19,2.29,0.41,1.8,12.5
1621,1203,1009,1098,647,45.8,20.5,2.21,2.31,0.35,2.7,12.8
1621,1201,1005,1094,645,45.8,20.4,2.24,2.36,0.35,3.2,12.8
1631,1200,1006,1103,629,46.2,20.6,2.25,2.37,0.46,3.1,16.6
1628,1201,1006,1102,623,46.1,20.7,2.26,2.38,0.52,3,13.6
1630,1201,1005,1093,626,46.2,20.6,2.27,2.39,0.27,3.2,13.5
1634,1200,1005,1094,624,46.3,20.5,2.27,2.39,0.25,3.2,11.6
1633,1200,1004,1096,628,47.6,19.7,2.25,2.36,0.39,3.2,11.7
1634,1199,1002,1104,635,47.5,20,2.22,2.32,0.41,2.5,10.6
1665,1231,1040,1125,633,47.2,20.3,2.21,2.3,0.37,2.2,11.9
1804,1427,1257,1255,656,48,22.7,2.22,2.3,0.4,2.3,35.8
1866,1535,1393,1303,670,45.5,27.3,2.2,2.29,0.38,1.7,9.1
1886,1596,1447,1313,688,38.8,31.5,2.18,2.27,0.37,1.8,9.1
1939,1697,1572,1348,706,37.3,33,2.16,2.25,0.37,1.5,8.5
1892,1615,1464,1311,716,34.7,35.9,2.17,2.26,0.32,1.3,9.7
1826,1515,1364,1254,702,34,34.8,2.15,2.24,0.3,0.8,8.3
1760,1405,1240,1211,689,36.6,30.5,2.17,2.25,0.29,1.3,9.8
1734,1366,1201,1195,683,37.6,28.9,2.18,2.26,0.31,1.4,10.6
1725,1354,1181,1178,675,38.9,27.4,2.18,2.26,0.35,1.9,11.6
1708,1319,1143,1164,666,41.1,25.2,2.21,2.29,0.34,2.5,9.7
1697,1296,1124,1161,656,41.8,24.6,2.21,2.29,0.4,2.1,20.3
1685,1274,1090,1147,640,43.3,23.6,2.22,2.3,0.37,2.6,10.9
1682,1265,1079,1141,635,43.7,23.4,2.2,2.28,0.35,2.5,14.3
1691,1269,1083,1156,623,44.8,23,2.2,2.27,0.35,2.3,10.2
1711,1289,1106,1152,617,45.2,22.9,2.19,2.27,0.36,2.7,10.9
1711,1290,1104,1166,614,45.6,22.9,2.22,2.3,0.28,2.4,11.2
1692,1264,1072,1164,615,46.2,22.5,2.2,2.29,0.33,2.4,11.1
1690,1261,1072,1139,618,46.6,22.3,2.19,2.29,0.34,2.1,13.2
1711,1280,1093,1166,610,47.4,22.2,2.2,2.3,0.39,2,13.5
1708,1272,1086,1161,608,47.7,22.3,2.22,2.31,0.39,1.7,21.4
1707,1270,1084,1167,603,48.2,22.3,2.24,2.33,0.43,1.8,22.2
1684,1246,1055,1151,602,48.7,22.2,2.27,2.36,0.42,1.8,15.5
1802,1390,1213,1231,598,51.1,20.6,2.26,2.35,0.39,1.7,18.7
1862,1490,1330,1295,617,52.2,23.5,2.24,2.34,0.35,2,12.9
1928,1616,1459,1360,633,46.7,28.1,2.28,2.37,0.34,1.9,13.7
2056,1854,1744,1424,679,40.5,34.4,2.34,2.43,0.34,1.9,14.3
2062,1881,1786,1421,683,36.9,37.8,2.28,2.39,0.31,1.9,14.9
2047,1880,1790,1406,727,34.2,39.1,2.29,2.4,0.32,2.1,14.6
1997,1808,1702,1382,737,34.1,38.5,2.38,2.49,0.33,1.9,16.5
1999,1805,1693,1394,752,34.9,37.4,2.43,2.57,0.37,1.4,16.9
1904,1642,1501,1344,758,34.4,38.2,2.41,2.56,0.47,1.7,22.1
1792,1463,1304,1261,745,38.3,32.6,2.36,2.5,0.47,2.8,47.7
1756,1400,1233,1230,731,41.3,29.8,2.37,2.51,0.53,3.8,27.2
1752,1386,1219,1229,716,44.2,27.5,2.29,2.48,0.54,3.8,21.3
1754,1382,1208,1230,701,48.4,26,2.18,2.38,0.5,3.4,13.2
1763,1385,1214,1232,694,50,25.6,2.16,2.34,0.48,3.2,10.5
1762,1376,1200,1223,666,52.5,24.9,2.14,2.21,0.42,3.4,11.9
1751,1357,1179,1219,655,53.8,24.4,2.1,2.17,0.39,2.3,12.2
1738,1338,1152,1211,646,55.7,23.6,2.1,2.17,0.37,2.4,9.1
1745,1343,1160,1213,641,56.9,23.2,2.08,2.13,0.38,2.4,14.4
1775,1373,1197,1233,645,58.4,22.7,2.09,2.16,0.42,2.4,18.3
1797,1399,1221,1247,635,58.7,23.8,2.1,2.16,0.41,2.7,14.5
1797,1395,1216,1249,627,59.2,23.5,2.15,2.21,0.45,2.7,15.9
1819,1426,1256,1258,624,59.2,24,2.15,2.24,0.5,2.6,27.8
1821,1430,1261,1273,624,59.2,24.5,2.18,2.28,0.48,3.1,25.1
1783,1376,1187,1255,619,59.3,24.7,2.29,2.39,0.48,2.6,17.8
1797,1402,1213,1264,620,59.6,24.6,2.37,2.49,0.51,2.1,17.3
1866,1501,1335,1310,637,59,25.8,2.39,2.57,0.45,1.9,23.6
1890,1539,1386,1341,642,57.8,27.4,2.51,2.65,0.47,2,51.3
1980,1698,1552,1404,656,54.2,29.4,2.36,2.52,0.38,1.9,32
2086,1895,1783,1467,697,47.8,34,2.46,2.64,0.6,2.4,24.2
2085,1908,1807,1455,709,43.5,37.9,2.35,2.46,0.51,2.6,35.4
2058,1868,1761,1428,730,39.1,38.8,2.31,2.44,0.39,2.1,29
2004,1795,1676,1409,737,40,38.3,2.28,2.39,0.35,1.7,28.7
1886,1614,1467,1312,736,39.9,35.4,2.19,2.27,0.37,1.9,20.8
1850,1557,1403,1286,727,41.3,33.3,2.16,2.26,0.46,2.1,26.8
1792,1460,1298,1243,704,44.8,30,2.16,2.3,0.38,2,33.7
1777,1437,1268,1236,697,46.5,28.4,2.14,2.28,0.37,1.4,25.6
1756,1410,1232,1216,684,48.2,27.4,2.13,2.29,0.37,2.4,26.7
1759,1394,1215,1210,658,49.6,26.3,2.11,2.24,0.31,2.6,16.7
1736,1363,1180,1192,651,50.1,25.7,2.11,2.25,0.29,3.6,12.9
1727,1347,1162,1187,631,51.4,24.4,2.1,2.19,0.28,2.2,11.8
1711,1329,1138,1168,626,51.5,24,2.13,2.23,0.26,2.6,13.5
1746,1371,1195,1167,622,51.9,23.6,2.12,2.22,0.32,2.6,13.8
1743,1360,1183,1166,610,51.7,23.5,2.12,2.23,0.35,2.7,13.8
1722,1330,1151,1142,599,51.5,23.3,2.14,2.24,0.34,2.7,21.1
1703,1305,1118,1135,592,54.7,21.3,2.15,2.27,0.44,2.6,24.9
1711,1306,1119,1139,592,55,21,2.15,2.27,0.33,2.1,29.6
1697,1282,1089,1136,579,56.6,20.5,2.18,2.31,0.32,1,21.7
1710,1298,1107,1144,579,57.1,20.6,2.16,2.28,0.29,2,18.9
1726,1321,1136,1156,576,57.3,20.7,2.17,2.29,0.27,2.4,17.3
1744,1345,1155,1186,576,57.7,20.7,2.17,2.27,0.43,2.1,25.5
1731,1332,1137,1199,567,55.4,23.4,2.18,2.28,0.44,2.4,35.7
1764,1368,1187,1189,569,53.3,23.6,2.17,2.29,0.33,2.1,18.3
1773,1380,1199,1219,571,55.1,23.5,2.17,2.29,0.4,1.8,18.5
1857,1495,1336,1268,574,53.7,24.8,2.14,2.25,0.38,1.7,18
1840,1480,1319,1259,577,53,26.9,2.15,2.26,0.41,1.4,20.7
1787,1419,1236,1236,577,49.1,28.5,2.13,2.21,0.31,1.7,19.9
1760,1378,1194,1210,567,47.7,27.4,2.16,2.24,0.47,1.6,27.9
1750,1361,1177,1203,551,50.5,25.1,2.14,2.25,0.41,1.6,24.9
1742,1348,1164,1187,546,50.7,25,2.14,2.26,0.38,1.7,24.7
1714,1316,1132,1154,531,50.2,24,2.15,2.32,0.43,1.5,26.5
1713,1315,1131,1155,531,50.5,23.3,2.13,2.34,0.4,1.9,21.3
1726,1331,1156,1136,525,50.9,22.8,2.14,2.37,0.51,2,19.2
1714,1315,1137,1138,511,51.5,22.1,2.13,2.35,0.42,1.9,16.9
1712,1311,1133,1136,527,51.6,22,2.13,2.38,0.43,2.4,25.6
1712,1308,1125,1129,523,51.5,21.6,2.12,2.39,0.45,2.2,28.8
1711,1302,1118,1132,527,51.7,21.4,2.13,2.29,0.44,1.8,28.1
1706,1297,1108,1122,524,52,21.1,2.12,2.27,0.44,1.8,21.7
1691,1276,1089,1130,511,52.1,21.1,2.11,2.24,0.42,1.6,24.2
1687,1268,1075,1122,511,52.2,21,2.14,2.28,0.52,1.2,18
1700,1283,1096,1116,509,52,20.9,2.17,2.28,0.47,1.3,20.1
1713,1305,1124,1109,499,52,20.7,2.18,2.31,0.46,1.4,15.5
1679,1254,1058,1113,499,52,20.7,2.18,2.3,0.42,1.5,17.9
1676,1246,1047,1110,494,51.8,20.6,2.19,2.31,0.48,2.4,14.1
1719,1305,1111,1146,490,51.4,21.4,2.19,2.3,0.45,2.7,18.2
1739,1329,1139,1173,495,50.7,22.5,2.16,2.26,0.33,2.6,14.3
1742,1343,1154,1179,494,47.6,24.6,2.16,2.25,0.28,2.8,21.8
1739,1337,1149,1171,484,46.4,24.8,2.14,2.23,0.24,2.6,13.5
1757,1357,1176,1170,486,45.7,25,2.12,2.19,0.4,2.9,32
1729,1327,1137,1152,481,44.8,25,2.15,2.23,0.25,2.6,16.3
1740,1344,1170,1118,471,44.7,24.4,2.15,2.22,0.24,2.8,28.3
1729,1321,1136,1137,464,49.6,22.3,2.16,2.24,0.29,2.5,19.9
1732,1324,1137,1137,462,48.1,22.9,2.18,2.28,0.36,2.7,22.2
1709,1295,1118,1113,450,48,22.3,2.18,2.27,0.32,2.7,29.1
1694,1281,1102,1093,445,47.9,21.5,2.18,2.28,0.35,2.5,28.1
1665,1247,1066,1061,439,48,20.3,2.17,2.28,0.38,2.7,26.1
1651,1232,1047,1057,439,48,19.7,2.17,2.29,0.35,2.4,27.4
1647,1223,1037,1046,438,48,19.3,2.19,2.31,0.44,2.3,21.3
1629,1200,1007,1030,426,48.2,18.4,2.2,2.33,0.38,2.3,34.6
1620,1195,996,1023,426,48.2,18.1,2.18,2.31,0.37,2.5,25.9
1638,1210,1022,1029,428,48.5,17.8,2.18,2.33,0.41,2.6,27
1628,1199,1007,1025,427,48.2,17.8,2.2,2.39,0.48,2.7,22.3
1630,1197,1001,1033,419,48,17.6,2.17,2.34,0.43,2.8,21.3
1616,1181,980,1016,410,47.9,17.5,2.15,2.29,0.34,2.8,22.2
1631,1194,1004,1005,407,47.7,17.4,2.12,2.25,0.29,2.9,21.2
1609,1168,976,1001,400,47.3,17.2,2.12,2.24,0.26,2.7,19.1
1601,1156,958,994,395,47.1,17,2.12,2.23,0.25,2.6,21.8
1615,1168,975,1003,389,46.9,16.8,2.12,2.22,0.29,2.6,14.1
1698,1270,1100,1041,385,46.8,17,2.12,2.21,0.29,2.3,15
1674,1242,1056,1076,400,44.5,20.9,2.13,2.22,0.38,2.6,28.6
1667,1233,1041,1072,394,43.6,20.9,2.13,2.22,0.29,2.8,34.6
1715,1288,1100,1113,400,43.1,21.1,2.12,2.21,0.31,2.5,17.6
1781,1384,1199,1176,409,43.1,23.1,2.08,2.16,0.29,2.6,16.8
1762,1365,1188,1168,418,41,26.4,2.12,2.2,0.28,2.7,33
1800,1408,1234,1180,421,39.2,25.6,2.12,2.21,0.26,3,26
1778,1392,1215,1169,419,40,27,2.14,2.24,0.39,2.9,18.6
1725,1317,1138,1116,406,37.2,27.7,2.15,2.27,0.43,3,23
1658,1242,1060,1041,399,36.7,26,2.15,2.29,0.35,2.9,22.5
1652,1230,1057,1003,381,39.6,20.6,2.14,2.27,0.33,2.9,33.5
1648,1227,1052,1002,375,40.3,19.9,2.13,2.28,0.38,3.4,41.9
1628,1200,1011,1002,368,41.1,19.3,2.12,2.27,0.36,3,23.5
1628,1199,1008,997,359,41.3,19.2,2.13,2.3,0.45,2.9,32.8
1630,1200,1008,993,359,41.5,19,2.15,2.33,0.4,3.1,36
1648,1218,1040,995,350,42,18.6,2.12,2.28,0.38,3.1,44
1653,1223,1042,1002,350,42.3,18.5,2.13,2.29,0.4,3,42.3
1661,1227,1042,1015,351,43.1,18.5,2.13,2.29,0.41,3,27.2
1648,1211,1018,1012,351,43.5,18.4,2.12,2.27,0.44,3.1,22.6
1651,1215,1022,1019,351,44.1,18.5,2.13,2.27,0.44,3,26.8
1657,1214,1022,1020,349,44.5,18.5,2.14,2.28,0.38,2.9,37.4
1658,1215,1021,1020,346,44.7,18.4,2.14,2.28,0.42,3,30.7
1666,1224,1035,1039,346,45.8,18.2,2.14,2.29,0.43,3.4,29.5
1656,1206,1006,1043,345,46.2,18.4,2.14,2.3,0.43,3.6,25.8
1711,1268,1080,1093,355,46.8,19.1,2.18,2.34,0.4,3.6,29.9
1726,1286,1093,1107,366,45.9,20.5,2.2,2.37,0.39,3.7,25.8
1793,1370,1185,1168,384,45.3,23.6,2.18,2.36,0.39,3.6,20.4
1825,1410,1228,1203,393,44.3,24.8,2.25,2.46,0.5,3.9,26
1811,1408,1220,1212,410,42,27.7,2.19,2.36,0.43,3.6,26.7
1807,1409,1218,1219,418,41.9,27.8,2.23,2.42,0.42,3.5,19.3
1807,1419,1230,1226,432,41.9,28.1,2.29,2.47,0.42,3.3,33.3
1758,1365,1178,1182,452,40.7,28.1,2.31,2.48,0.45,3.2,35.2
1752,1358,1169,1173,464,40.8,27.4,2.28,2.47,0.46,4.3,29.6
1728,1321,1133,1139,470,42.2,25.5,2.27,2.46,0.49,4.9,28.7
1740,1333,1151,1136,466,43.4,24.4,2.31,2.52,0.53,4.2,39.1
1744,1347,1177,1128,470,45.3,23.4,2.34,2.53,0.54,3.7,38.4
1730,1321,1137,1126,468,45.8,23.1,2.25,2.38,0.53,3.2,24.3
1740,1327,1139,1127,459,46.6,22.6,2.24,2.36,0.49,3.6,18.8
1737,1316,1130,1126,453,46.9,22.5,2.18,2.28,0.43,4.2,13.8
1738,1323,1134,1126,443,47.2,22.5,2.16,2.24,0.42,3.7,14.5
1728,1311,1118,1126,437,48.4,22.2,2.16,2.25,0.44,3.3,14.9
1719,1296,1100,1134,446,49.3,22,2.2,2.32,0.47,2.9,14.6
1715,1296,1091,1134,453,50.8,21.7,2.2,2.31,0.46,2.4,15.3
1713,1287,1086,1126,451,51.6,21.5,2.24,2.37,0.59,2.6,19.8
1711,1281,1081,1135,463,53,21.1,2.24,2.4,0.53,2.9,22.8
1707,1276,1075,1141,464,53.6,21.1,2.26,2.43,0.56,3.2,41.9
1699,1267,1065,1137,462,54.1,21,2.28,2.46,0.55,3.1,31.2
1709,1280,1082,1139,464,54.7,20.7,2.24,2.4,0.53,3,24.5
1719,1296,1098,1150,465,54.9,20.8,2.24,2.36,0.41,3,21.1
1841,1455,1263,1281,478,55.4,21.7,2.24,2.35,0.34,3.1,21.4
1924,1595,1425,1331,499,51.1,27.5,2.2,2.31,0.33,2.9,21.1
1969,1706,1559,1360,567,42.7,34,2.19,2.27,0.32,2.9,14.8
1948,1686,1535,1341,579,39.4,35.4,2.12,2.18,0.29,2.8,26.8
1906,1621,1468,1304,609,37.5,35,2.13,2.19,0.26,2.9,30.7
1900,1615,1457,1298,611,37.5,34.2,2.13,2.18,0.34,3.1,17.1
1853,1548,1391,1263,615,36.7,34.5,2.12,2.17,0.26,3.1,31.6
1740,1395,1229,1160,590,37.2,30.5,2.13,2.19,0.27,3.2,34.5
1672,1298,1125,1086,576,37.7,28.3,2.11,2.17,0.33,3.7,34.8
1636,1249,1074,1038,539,42,21.5,2.11,2.16,0.29,3.8,13
1646,1257,1077,1048,537,43.6,20.3,2.1,2.15,0.28,4.2,13.5
1632,1232,1047,1034,498,44.1,20.3,2.09,2.13,0.27,5,9.4
1629,1228,1040,1012,489,44.3,19.7,2.07,2.11,0.26,4.2,13.8
1629,1218,1038,998,459,46.1,18,2.07,2.11,0.26,3.9,13.1
1641,1232,1055,1001,455,47.1,17.5,2.07,2.13,0.29,3.4,11.6
1636,1220,1040,1006,448,48.1,17.2,2.09,2.16,0.31,3,16.8
1628,1206,1014,999,438,49.4,16.7,2.11,2.2,0.31,3,19.6
1620,1194,999,999,431,49.8,16.5,2.12,2.22,0.3,3,16.3
1621,1195,998,987,421,50.6,16,2.13,2.22,0.3,3.3,30.7
1614,1179,976,983,419,50.9,15.8,2.13,2.23,0.29,3.3,23.4
1611,1171,971,987,401,51.3,15.6,2.13,2.24,0.36,3.4,32.5
1616,1176,976,991,403,51.2,15.6,2.16,2.27,0.36,3.3,20.1
1680,1245,1054,1053,406,51.8,15.5,2.17,2.29,0.37,1.8,21.8
1756,1338,1145,1135,418,53.6,17.4,2.21,2.32,0.4,1.2,21.1
1816,1421,1236,1204,432,48.5,22.2,2.24,2.34,0.4,1.6,23.2
1891,1572,1404,1269,475,41.5,28.8,2.26,2.36,0.39,1.5,19.5
1938,1651,1501,1296,498,38.3,31.8,2.24,2.34,0.36,1.6,25.4
1952,1693,1556,1298,545,35.2,34.5,2.2,2.29,0.32,1.7,25.7
1943,1676,1527,1299,560,34.5,35.1,2.21,2.31,0.34,1.5,23
1957,1708,1566,1309,574,33.7,36.2,2.27,2.38,0.47,1.8,21.5
1922,1664,1518,1282,581,32.6,37,2.23,2.34,0.43,1.8,21.8
1869,1580,1423,1235,571,32,36.2,2.22,2.34,0.46,2.1,24.9
1705,1346,1181,1078,537,32.9,31.3,2.17,2.32,0.48,2.8,23.3
1680,1308,1146,1046,529,35.8,25.8,2.18,2.34,0.48,2.8,19.6
1648,1264,1087,1013,498,40.4,21.5,2.15,2.36,0.52,2.7,18.5
1648,1262,1086,1007,485,41.6,20.6,2.13,2.25,0.47,2.8,17.1
1627,1221,1034,990,453,43,19.4,2.12,2.25,0.41,3.2,18.8
1619,1210,1014,988,448,43.3,18.9,2.11,2.27,0.39,1.7,22
1652,1246,1071,983,428,44,18,2.13,2.27,0.47,2.3,21.8
1636,1220,1040,981,418,44.6,17.5,2.15,2.34,0.43,2.2,22.6
1649,1235,1059,980,417,45.3,17.2,2.16,2.31,0.46,1.6,17.4
1632,1211,1019,970,412,46.4,16.6,2.16,2.32,0.46,1.7,23.3
1635,1213,1024,976,400,46.8,16.4,2.17,2.32,0.46,1.9,20.9
1644,1213,1023,979,403,47.8,16.1,2.18,2.34,0.48,2.1,34.3
1664,1235,1055,977,398,48.4,16.2,2.2,2.36,0.47,1.7,35.2
1640,1204,1010,983,390,49.6,16,2.21,2.36,0.45,1.6,27
1701,1273,1099,1006,394,50.7,15.8,2.26,2.42,0.52,2.1,27.8
1779,1360,1191,1076,390,51.9,16.3,2.29,2.46,0.42,2.5,19.5
1845,1454,1282,1176,415,48.5,23.6,2.25,2.43,0.42,2.2,19.3
1853,1471,1297,1200,418,44.5,25.6,2.3,2.48,0.39,2.1,21.8
1930,1597,1425,1291,447,41.7,29.4,2.38,2.58,0.44,2.5,20.8
1895,1558,1388,1258,452,38.9,32.5,2.35,2.58,0.42,2.6,25.2
1903,1586,1429,1259,490,37.6,32.5,2.45,2.69,0.43,2.2,25.9
1869,1539,1380,1249,501,37,32.8,2.55,2.82,0.46,2.4,24.1
1841,1511,1343,1223,531,36.9,32.3,2.56,2.89,0.6,2.9,39.6
1809,1467,1291,1197,526,36.7,31.9,2.44,2.73,0.64,3.3,49
1774,1420,1244,1166,527,37.5,30.1,2.44,2.74,0.71,3.9,43.3
1747,1372,1192,1131,502,40.1,26.4,2.58,2.93,0.67,6.3,46.5
1744,1371,1191,1127,497,42.3,25.1,2.33,2.56,0.65,6.2,31
1755,1369,1187,1142,495,44.7,24.8,2.27,2.46,0.63,5.3,21.8
1761,1378,1199,1152,500,46,24.7,2.26,2.46,0.41,4.2,17.8
1745,1358,1169,1157,511,48.3,24.2,2.26,2.44,0.39,4.5,17.3
1750,1358,1168,1161,527,49.5,23.9,2.25,2.4,0.37,4.8,19.6
1752,1356,1160,1172,526,51.5,23.7,2.23,2.37,0.42,4.6,17.4
1753,1356,1156,1173,528,52.2,23.7,2.24,2.35,0.4,4.5,22.6
1759,1359,1165,1180,530,52.8,23.7,2.23,2.36,0.42,3.3,24.5
1764,1360,1162,1184,535,53.9,23.6,2.22,2.35,0.39,2.8,22.2
1769,1365,1168,1189,531,54.3,23.6,2.25,2.37,0.37,3.1,18.9
1772,1370,1176,1184,537,55.2,23.5,2.23,2.32,0.33,2.9,13.3
1791,1394,1210,1200,540,55.5,23.4,2.26,2.35,0.36,2.4,17.8
1803,1411,1224,1209,543,56.5,23.6,2.27,2.35,0.31,2.4,19.1
1826,1441,1260,1234,549,57.2,24,2.36,2.44,0.34,2.3,19.7
1836,1451,1264,1245,553,57,24.9,2.38,2.45,0.35,2.5,17.8
1869,1509,1333,1277,555,52.5,27.8,2.4,2.47,0.34,2.2,22.8
1875,1523,1351,1283,550,49.8,28.8,2.38,2.45,0.36,2.6,33.8
1962,1665,1511,1341,566,47,30.8,2.34,2.45,0.41,2.9,18.5
1957,1664,1511,1340,571,43.9,33.2,2.35,2.52,0.45,3.6,16.5
